duration,protocol_type,service,src_bytes,dst_bytes,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,is_guest_login,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,outcome
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,1,1,0,0,1,0,251,251,1,0,0,0.02,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,2,0,0,1,0,79,79,1,0,0.01,0.01,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,4,4,0,0,1,0,68,68,1,0,0,0.03,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,3,3,0,0,1,0,214,214,1,0,0,0.01,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,4,4,0,0,1,0,4,4,1,0,0,0,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,2,0,0,1,0,118,118,1,0,0,0.02,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,5,5,0,0,1,0,175,175,1,0,0,0.06,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,4,4,0,0,1,0,80,80,1,0,0,0.04,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,4,6,0,0.25,1,0,197,197,1,0,0,0.06,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,5,5,0,0,1,0,235,235,1,0,0,0.06,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,2,0,0,1,0,180,180,1,0,0,0.01,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,5,5,0,0,1,0,13,13,1,0,0,0.08,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,2,0,0,1,0,254,254,1,0,0,0.02,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,3,3,0,0,1,0,13,13,1,0,0,0,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,3,3,0,0,1,0,80,80,1,0,0.01,0.01,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,4,4,0,0,1,0,63,63,1,0,0,0.19,back
0,tcp,http,54540,8315,0,0,1,0,0,0,0,0,2,2,0.5,0,1,0,255,255,1,0,0,0.04,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,2,0,0,1,0,246,246,1,0,0,0.02,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,3,0,0,1,0,155,155,1,0,0,0.01,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,4,4,0,0,1,0,104,104,1,0,0,0.05,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,4,0,0,1,0,255,255,1,0,0,0.05,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,2,2,0,0,1,0,171,171,1,0,0,0.01,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,4,4,0,0,1,0,118,118,1,0,0,0.04,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,3,4,0,0.67,1,0,255,255,1,0,0,0.04,back
0,tcp,http,54540,8314,2,0,1,1,0,0,0,0,5,5,0,0,1,0,255,255,1,0,0,0.06,back
